TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0006766	"vitamin metabolic process"	-1.72619759570644	5.5801445966856855	1.2649964183686069	0.4957683483605663	0.40467104	null
GO:0006790	"sulfur compound metabolic process"	-1.65336598953041	5.768210254776623	1.9505422206753265	0.8378502947723682	0.09623375	null
GO:0006807	"nitrogen compound metabolic process"	-1.547136244556	7.1668089422978785	48.837649518475466	0.8578091706287303	0.20673508	null
GO:0009165	"nucleotide biosynthetic process"	-2.38437195971069	5.9397627885840745	2.895397071470842	0.20637069652348075	0	null
GO:0019438	"aromatic compound biosynthetic process"	-1.68221040435778	6.60682757763083	13.451580388199883	0.5495770725433653	0.38459552	null
GO:0042364	"water-soluble vitamin biosynthetic process"	-1.73095485822077	5.556499095154278	1.19796389843281	0.40972681354267576	0.4019054	null
GO:0044237	"cellular metabolic process"	-1.58625654770726	7.170242846650484	49.22533251163365	0.8575633239983386	0.06932479	null
GO:0072521	"purine-containing compound metabolic process"	-2.33191171698587	5.892236003769251	2.595262480894418	0.6346881087563301	0.27256743	null
GO:1901362	"organic cyclic compound biosynthetic process"	-1.61454924412005	6.636315548552797	14.3966447883804	0.5893571596899593	0.46012145	null
GO:1901566	"organonitrogen compound biosynthetic process"	-1.56768728243458	6.643496794616454	14.63667861962968	0.5704070874168365	0.4936698	null
GO:1901605	"alpha-amino acid metabolic process"	-1.96838463935572	6.029324108830442	3.5585210895822956	0.34097172837924516	0.46552436	null
