TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0005975	"carbohydrate metabolic process"	1.86648051837216	6.220115151808519	5.521546466478484	0.8839750754030103	0.07173764	null
GO:0006066	"alcohol metabolic process"	1.76752130559455	5.389924108316851	0.8163345541747027	0.6416181489407494	0.39315403	null
GO:0006091	"generation of precursor metabolites and energy"	1.56301386501975	5.897738674144431	2.62835465282124	0.8815900794563488	0.03419121	null
GO:0006807	"nitrogen compound metabolic process"	1.46729821806884	7.1668089422978785	48.837649518475466	0.8892199217926846	0.08371145	null
GO:0007154	"cell communication"	1.63124615246505	6.415667163528361	8.661893464294382	0.983611971498677	0	null
GO:0009056	"catabolic process"	2.07946773547424	6.260468037413432	6.059177012419161	0.9226325694302357	0.04574167	null
GO:0009991	"response to extracellular stimulus"	1.82794542751387	5.095936102180786	0.4148379325099307	0.9694726224667325	0	null
GO:0019318	"hexose metabolic process"	1.98742981941244	5.315283743599112	0.6874284205910277	0.5583551020326399	0	null
GO:0042180	"cellular ketone metabolic process"	1.64292106232925	5.140847301261672	0.46003407605618213	0.6538482940978976	0.30900824	null
GO:0043603	"amide metabolic process"	1.65027766003722	6.292232804957447	6.518961624921768	0.8945016639416985	0.09230689	null
GO:0050896	"response to stimulus"	1.89387509715913	6.644603215942828	14.674014998147983	1	0	null
GO:0051604	"protein maturation"	1.92769505511126	5.21363992663788	0.5439802249243227	0.8663784395449913	0.0554288	null
GO:0051716	"cellular response to stimulus"	1.66713666877005	6.557843319194743	12.016805727629972	0.9524879014805074	0.43069576	null
GO:1901605	"alpha-amino acid metabolic process"	1.86325875747309	6.029324108830442	3.5585210895822956	0.4542104393593321	0.38502853	null
GO:1901615	"organic hydroxy compound metabolic process"	1.60584456418973	5.555437877192316	1.1950401855849182	0.916119325424366	0.04618357	null
