TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0005975	"carbohydrate metabolic process"	-2.32523401883918	6.220115151808519	5.521546466478484	0.8950474650533953	0.07173764	null
GO:0006066	"alcohol metabolic process"	-1.778038	5.389924108316851	0.8163345541747027	0.6754044352044634	0.39315403	null
GO:0006091	"generation of precursor metabolites and energy"	-1.9828877	5.897738674144431	2.62835465282124	0.8749552278291431	0.03419121	null
GO:0006811	"monoatomic ion transport"	-1.59815130991656	6.1216953964406695	4.401907471506606	0.8865002495280824	0.4002739	null
GO:0008643	"carbohydrate transport"	-2.03234275565725	5.304509915487243	0.6705846414536847	0.886891805935672	0	null
GO:0009056	"catabolic process"	-1.95307435473643	6.260468037413432	6.059177012419161	0.9287500644974384	0.04574167	null
GO:0009401	"phosphoenolpyruvate-dependent sugar phosphotransferase system"	-1.91431082766364	4.820378820405488	0.21994702591547136	0.8541100650237469	0.47325313	null
GO:0015980	"energy derivation by oxidation of organic compounds"	-1.88502653445376	5.611345126683129	1.3592204656440126	0.823946296949083	0.09068117	null
GO:0016310	"phosphorylation"	-1.57757382379423	6.35164114641232	7.474579996508841	0.8561401861706033	0.11548269	null
GO:0019318	"hexose metabolic process"	-2.09881285936576	5.315283743599112	0.6874284205910277	0.6222468182758337	0	null
GO:0033013	"tetrapyrrole metabolic process"	-1.6294998	5.388225572523698	0.8131480730503791	0.829502773391267	0.20289251	null
GO:0033014	"tetrapyrrole biosynthetic process"	-1.6533746	5.370931084175072	0.7814030043128589	0.7304262389502834	0.08476892	null
GO:0044238	"primary metabolic process"	-1.48655813214273	7.210955285610252	54.063119334849006	0.895864802112837	0.11778626	null
GO:0044281	"small molecule metabolic process"	-1.50463336608887	6.658602684396198	15.15473791824727	0.917436862857666	0.06282687	null
GO:0071702	"organic substance transport"	-1.67867078711843	6.261021262477039	6.066900404037823	0.8825983744637727	0.46556969	null
GO:0098655	"monoatomic cation transmembrane transport"	-1.72044916935258	5.944016048508633	2.923892461650467	0.847572182526603	0.47366781	null
GO:0098662	"inorganic cation transmembrane transport"	-1.77776158807741	5.841229913729291	2.307677570153143	0.8490932718125648	0.31442957	null
GO:1901605	"alpha-amino acid metabolic process"	-2.03118680360765	6.029324108830442	3.5585210895822956	0.4652779928179133	0.38502853	null
GO:1901615	"organic hydroxy compound metabolic process"	-1.8423172	5.555437877192316	1.1950401855849182	0.9226813816202548	0.04618357	null
